,account,post,follower,follow,open_account,official_account,image_love,image_comment,video_love,video_comment,igtv_love,igtv_comment,ER,active_rate
203,https://instagram.com/insight.co.kr_beauty,3632,129869,204,1,1,1917,151,4113,1,0,0,1.592373854,7.87278415
204,https://instagram.com/rilaccoco,609,171075,476,1,1,4338,27,27000,251,0,0,2.551512495,0.622263194
205,https://instagram.com/seonihwang,316,127591,317,1,1,5682,24,0,0,0,0,4.472102264,0.422312159
206,https://instagram.com/nail_seoriyam,2969,76719,299,1,0,401,8,4612,12,0,0,0.533114352,1.990049751
207,https://instagram.com/keemme_,865,141173,543,1,0,1695,18,8105,13,0,0,1.21340483,1.061320755
208,https://instagram.com/jardindemaison,9086,38723,706,1,0,319,4,6088,2,0,0,0.834129587,1.25
209,https://instagram.com/ryu_angel,2039,85873,629,1,0,638,94,12054,75,0,0,0.852421599,14.71048513
210,https://instagram.com/d.hwan_92,495,196190,283,1,0,5072,36,0,0,0,0,2.603598552,0.709639267
211,https://instagram.com/summyis,639,79286,231,1,0,4736,41,19557,13,0,0,6.025023333,0.865526705
212,https://instagram.com/hael_kk,1615,76526,496,1,0,356,5,2092,8,0,0,0.471735097,1.400560224
213,https://instagram.com/0__0man,1434,389050,271,1,0,7842,30,3182,24,0,0,2.02339031,0.382506694
214,https://instagram.com/di_oniz,911,36369,638,1,0,1005,19,0,0,0,0,2.815584701,1.888667992
215,https://instagram.com/chaebubble,728,127452,321,1,0,1446,18,15874,46,0,0,1.148667734,1.243953006
216,https://instagram.com/__joovely__,908,125364,366,1,0,817,18,14100,49,0,0,0.666060432,2.200488998
217,https://instagram.com/gamgak_j,4377,87357,368,1,0,524,16,0,0,0,0,0.618153096,3.047619048
218,https://instagram.com/binlog_,5639,44946,704,1,0,512,8,11261,4,0,0,1.156943888,1.559454191
219,https://instagram.com/dunamandu,4259,72912,586,1,0,173,6,5380,9,5679,2,0.245501426,3.448275862
220,https://instagram.com/the_clerk_48,238,41407,54,1,0,2509,11,0,0,0,0,6.0859275,0.438247012
221,https://instagram.com/ev.alet,559,165180,181,1,1,8034,131,0,0,0,0,4.943092384,1.630367144
222,https://instagram.com/sjeuro,1766,130012,168,1,0,1374,40,8136,22,14500,15,1.087591915,2.909090909
223,https://instagram.com/cheristyle_,981,160703,892,1,0,4203,62,0,0,0,0,2.653964145,1.474785918
224,https://instagram.com/hahana111,3828,48743,860,1,1,456,30,6018,25,0,0,0.997066245,6.564551422
225,https://instagram.com/velyyson_g,1019,276565,186,1,0,2148,15,0,0,0,0,0.782094625,0.697999069
226,https://instagram.com/__bygracekim,1085,413062,362,1,0,3015,63,21700,119,0,0,0.745166585,2.088859416
227,https://instagram.com/m1ss_ryu,7236,101302,463,1,0,1181,77,0,0,0,0,1.241831356,6.514382403
228,https://instagram.com/monaka.beauty,635,64870,305,1,0,1187,14,18825,12,4833,13,1.851395098,1.178451178
229,https://instagram.com/gombooin,10224,52038,302,1,0,165,10,0,0,6005,4,0.336292709,6.024096386
230,https://instagram.com/b_bangg_,842,128803,672,1,0,688,9,9375,15,0,0,0.541136464,1.306240929
231,https://instagram.com/nail_0408,2312,100033,626,1,0,881,12,14866,10,0,0,0.892705407,1.360544218
232,https://instagram.com/b_bsssss,1866,103603,7305,1,0,854,28,3237,27,0,0,0.851326699,3.274853801
233,https://instagram.com/_yunboktv,256,48840,482,1,0,1495,28,907,12,0,0,3.118345618,1.871657754
234,https://instagram.com/y._.bling,228,133914,31,1,0,12407,65,30909,20,0,0,9.313439969,0.523855577
235,https://instagram.com/soyeo,1588,43323,466,1,0,599,16,0,0,0,0,1.419569282,2.666666667
236,https://instagram.com/96.kim,196,69257,329,1,0,509,7,6877,5,0,0,0.745051042,1.37254902
237,https://instagram.com/yuuhyemin,273,189475,84,1,0,4685,23,0,0,0,0,2.484760522,0.49082373
238,https://instagram.com/parkahin,2423,90789,215,1,0,513,28,5386,23,0,0,0.595887167,5.447470817
239,https://instagram.com/marie_yeon,4609,73344,290,1,0,318,12,0,0,0,0,0.449934555,3.761755486
240,https://instagram.com/edgeo516/,1959,129583,246,1,0,2143,43,21267,32,0,0,1.686949677,2.005597015
241,https://instagram.com/hp.i09,279,187598,264,1,0,7709,55,5127,3,0,0,4.138636872,0.713359274
242,https://instagram.com/hohobeautylog,1001,139302,349,1,0,3010,28,0,0,0,0,2.180873211,0.929923613
243,https://instagram.com/mong2_mom,912,188273,218,1,1,6957,101,78633,91,0,0,3.748811566,1.451566542
245,https://instagram.com/cha.star,1511,97387,385,1,0,403,4,5164,2,0,0,0.417920256,0.99009901
246,https://instagram.com/seoltamin,6472,39706,667,1,0,425,22,0,0,0,0,1.125774442,5.164319249
247,https://instagram.com/jinsolllllllshin,1688,143912,226,1,0,2662,12,16424,24,0,0,1.858079938,0.450619602
248,https://instagram.com/afma22,657,180884,130,1,0,715,8,0,0,0,0,0.399703677,1.117318436
249,https://instagram.com/yoongandchic,4203,77900,293,1,0,213,5,1621,0,0,0,0.279845956,2.336448598
250,https://instagram.com/o_yene,100,206350,158,1,0,4613,40,0,0,0,0,2.254906712,0.866926745
251,https://instagram.com/enricatarolla,1362,43907,2436,1,0,1460,26,7664,33,17500,32,3.384426174,1.779603012
252,https://instagram.com/usb72,221,76243,79,1,0,1187,12,0,0,0,0,1.572603387,1.01010101
